

Keyboard Example 
BREAK code: 0x9C
MAKE code: 0x21
BREAK code: 0xA1
MAKE code: 0x21
BREAK code: 0xA1
MAKE code: 0x21
BREAK code: 0xA1
MAKE code: 0x17
MAKE code: 0x24
BREAK code: 0x97
MAKE code: 0x21
BREAK code: 0xA4
MAKE code: 0x18
MAKE code: 0x17
MAKE code: 0x1F
BREAK code: 0x97
MAKE code: 0x20
BREAK code: 0x98
BREAK code: 0xA1
BREAK code: 0xA0
BREAK code: 0x9F
MAKE code: 0x17
MAKE code: 0x18
BREAK code: 0x98
MAKE code: 0x24
BREAK code: 0x97
MAKE code: 0x21
MAKE code: 0x18
BREAK code: 0xA4
MAKE code: 0x17
BREAK code: 0x97
MAKE code: 0x1F
MAKE code: 0x24
BREAK code: 0x98
MAKE code: 0x20
BREAK code: 0xA1
BREAK code: 0xA4
MAKE code: 0x16
MAKE code: 0x21
BREAK code: 0xA0
BREAK code: 0x9F
BREAK code: 0x96
BREAK code: 0xA1
MAKE code: 0x16
BREAK code: 0x96
MAKE code: 0x21
MAKE code: 0x18
MAKE code: 0x17
BREAK code: 0x97
BREAK code: 0x98
MAKE code: 0x20
MAKE code: 0x24
MAKE code: 0x1F
BREAK code: 0xA1
MAKE code: 0x18
MAKE code: 0x17
BREAK code: 0xA4
BREAK code: 0x97
BREAK code: 0x98
MAKE code: 0x24
BREAK code: 0x9F
MAKE code: 0x21
BREAK code: 0xA0
BREAK code: 0xA4
BREAK code: 0xA1
MAKE code: 0x1F
MAKE code: 0x18
MAKE code: 0x17
MAKE code: 0x20
MAKE code: 0x24
BREAK code: 0x98
MAKE code: 0x21
BREAK code: 0x9F
BREAK code: 0x97
MAKE code: 0x18
MAKE code: 0x17
MAKE code: 0x1F
BREAK code: 0xA4
BREAK code: 0xA0
BREAK code: 0xA1
MAKE code: 0x24
BREAK code: 0x98
BREAK code: 0x97
BREAK code: 0x9F
MAKE code: 0x21
BREAK code: 0xA4
MAKE code: 0x24
MAKE code: 0x20
BREAK code: 0xA1
MAKE code: 0x21
BREAK code: 0xA4
BREAK code: 0xA0
MAKE code: 0x1F
BREAK code: 0xA1
MAKE code: 0x21
BREAK code: 0x9F
MAKE code: 0x1F
MAKE code: 0x20
BREAK code: 0xA1
MAKE code: 0x24
BREAK code: 0x9F
BREAK code: 0xA0
BREAK code: 0xA4
MAKE code: 0x21
MAKE code: 0x20
MAKE code: 0x1F
BREAK code: 0xA1
MAKE code: 0x24
BREAK code: 0x9F
MAKE code: 0x21
BREAK code: 0xA4
MAKE code: 0x17
BREAK code: 0xA0
BREAK code: 0x97
BREAK code: 0xA1
MAKE code: 0x1F
MAKE code: 0x17
MAKE code: 0x18
